Scraped from: https://grants.nih.gov/grants/glossary.htm,
Term,Description
A&R,See Alteration and Renovation
A0 application,"""A0"" is a convenient way to refer to a new, renewal or revision application that has not been amended following the review of an application with the same project number."
A1 application,"The A1 suffix is typically seen as part of an application identification number or grant number and A1 is often used to refer to a new, renewal, or revision application that is amended and resubmitted after the review of a previous application with the same project number."
AA,National Institute on Alcohol Abuse and Alcoholism
Academic Research Enhancement Award (AREA - R15),Grant award stimulating research at health professional academic institutions with not more than $6 million per year of NIH support in total costs in each of four or more of the last seven years. Go to AREA.
Accession Number,"Related to electronic submission of applications, the Accession number is the Agency tracking number provided for the application after Agency validations."
Account ,"As used by the eRA Commons, a personal account an individual uses to log into the eRA Commons which is identified by a unique combination of username and password."
Account Administrator (AA),"An individual typically in the grantee organization's central research administration office designated by a SO to facilitate the administration of NIH eRA Commons accounts. The AA can create, modify and/or remove the necessary accounts for these types: AO, AA, FSR, PI or ASST. Although the AA can create additional accounts, the AA cannot modify institutional profile (IPF) information."
Acquisition,Obtaining supplies or services by the federal government with appropriated funds through purchase or lease. See Contract.
Acquisition Cost,"The cost of the asset including the cost to ready the asset for its intended use. Acquisition cost for equipment, for example, means the net invoice price of the equipment, including the cost of any modifications, attachments, accessories, or auxiliary apparatus necessary to make it usable for the purpose for which it is acquired. Acquisition costs for software includes those development costs capitalized in accordance with generally accepted accounting principles (GAAP). Ancillary charges, such as taxes, duty, protective in transit insurance, freight, and installation may be included in or excluded from the acquisition cost in accordance with the non-Federal entity's regular accounting practices."
Active Grant,"A grant meeting the following criteria:


		Today's date is between the budget start and end dates.

		The grant has an eRA System (IMPAC II) application status code of ""Awarded. Non-fellowships only."" or ""Awarded. Fellowships only."""
Activity Code,"A 3-character code used to identify a specific category of extramural research activity, applied to financial assistance mechanisms. NIH uses three funding mechanisms for extramural research awards: grants, cooperative agreements and contracts. Within each funding mechanism, NIH uses 3-character activity codes (e.g., F32, K08, P01, R01, T32, etc.) to differentiate the wide variety of research-related programs NIH supports. Comprehensive List of Activity Codes"
Additive Alternative,A use of program income earned during or after the project period that permits income that is generated under a grant to be added to funds committed to the project by the Federal awarding agency and recipient and used to further eligible project or program objectives. (See definitions for deductive alternative and cost sharing or matching alternative and the NIH Grants Policy Statement: 8. Administrative Requirements 8.3 Management Systems and Procedures-Program Income
Administrative Expenses,"Expenses incurred for the support of activities relevant to the award of grants, contracts, and cooperative agreements and expenses incurred for general administration of the scientific programs and activities of the National Institutes of Health."
Administrative IC,The NIH Institute or Center (IC) to which the Center for Scientific Review (CSR) routes NIH grant applications for a funding decision. An IC may request to change this assignment if the application is more suited to another IC. Also referred to as primary assignment.
Administrative Official (AO) ,"In the eRA Commons, reviews the grant application for accuracy before the signing official submits the final application to the NIH.


		May be the same person as the signing official.

		Resides in either the central research administration office or academic departments.

		Create additional AO and PI accounts

		Not authorized to transmit applications to the NIH.

Has authority to review electronically submitted application before it moves on to CSR."
Administrative Requirements,"The general business management practices that are common to the administration of all grants, such as financial accountability, reporting, equipment management, and retention of records. Uniform administrative requirements for grants are found in OMB Circular A-102 and OMB Circular A-110 (now found at 2 CFR Part 215)."
